,width,snippet_hits
0,222,263
1,888,263
2,2288,263
3,8888,263
4,12288,263
5,18888,263
6,22288,263
7,28888,263
8,32288,263
9,38888,263
10,42288,263
11,48888,263
12,52288,263
13,58888,263
14,62888,263
15,68888,263
16,72288,263
17,78888,263
18,82288,263
19,88888,263
20,92288,263
21,98888,263
22,102288,263
23,108822,263
24,112288,263
25,118888,263
26,122288,263
27,128888,263
28,132288,263
29,138888,263
30,142288,263
31,148888,263
32,152888,263
33,158888,263
34,162888,263
35,168888,263
36,172888,263
37,178888,263
38,182888,263
39,188888,263
